id,y
610,57.603085
9109,60.80183
7035,105.51755
7597,34.665398
2783,1519.3915
3294,666.4711
8498,58.57987
7056,15.363272
10440,104.88866
6887,242.88724
124,81.11817
8066,45.371502
3538,458.15244
3498,184.95854
1928,108.197334
2678,100.20171
495,557.0497
4881,527.0941
2506,123.823105
1098,84.771255
9361,66.85303
7020,80.174225
3017,187.75072
3698,62.81795
1194,57.808197
4348,97.27471
6113,84.08575
4629,50.151443
1145,381.16486
8882,324.99338
10325,111.667175
8792,37.46104
2087,38.560997
5639,97.03972
1278,123.121
1599,705.0256
3680,318.66022
8793,163.96823
7286,93.78581
2712,91.29376
8570,1437.068
9447,232.97441
4653,24.582916
5656,56.131386
5692,67.70533
9278,850.9886
579,190.4142
5055,366.7733
5292,473.35513
7042,814.82153
7066,750.9153
4297,1576.4049
4872,317.61667
2669,32.433456
2861,13.0378895
6989,699.5664
9403,48.034126
2676,86.898125
272,175.0686
7404,39.73977
8289,75.2517
5957,9.483722
8575,6.4216533
5373,112.58865
1158,74.92571
8788,14.315627
4707,41.27573
530,18.050508
9540,149.55972
4045,64.14276
2427,4.9014425
8433,318.70932
5231,466.86655
7491,240.8569
7856,53.921894
3213,76.63964
2081,43.343338
4665,143.01239
4075,47.291786
1743,158.96669
3100,12.667733
8321,769.90356
4445,47.65471
1856,34.833317
8612,1073.9053
3326,43.6817
4139,111.199
9221,35.98306
8405,149.38524
6646,13.451578
10387,31.092583
2760,68.84155
8478,49.60055
5139,38.809418
9287,750.35034
3626,944.9498
6225,16.749744
982,214.74472
7864,91.625595
159,15.510565
9065,16.450989
4749,78.36299
4624,434.9743
3919,709.29553
7370,579.053
7504,205.68254
5452,125.71349
176,52.99701
9164,338.37558
2643,34.169567
9940,2535.7913
1096,133.07764
3991,1414.177
7685,53.307167
6330,75.64877
9573,287.8426
3784,16.930037
8666,29.868492
6997,171.16261
5875,73.245735
9451,43.429604
2470,27.581606
3222,71.225624
8180,11.784309
10178,32.397232
5867,15.998681
7015,65.79492
253,14.261984
1748,408.95987
487,240.19485
6705,32.045486
6408,78.06874
7064,114.03849
9751,41.284702
3343,295.65305
6442,55.570057
2746,56.569996
10018,33.645954
1738,49.996387
8872,32.669056
1785,27.422457
8965,9.3581085
4552,872.25977
5601,145.59952
3170,224.69221
1978,41.104813
8298,74.66452
2888,49.476185
8073,23.085367
2898,108.10066
6503,1219.1954
10421,173.71268
7741,43.596344
9612,60.23246
9633,57.005013
133,55.525593
7192,36.805008
1283,17.249826
2153,39.81642
8194,69.53109
6249,181.94658
9273,22.765121
3889,101.044174
2174,16.000996
10112,198.86932
994,29.260187
39,21.661057
1218,27.649845
5682,27.17517
3629,131.78067
6199,860.31226
220,27.629128
8287,457.5451
5753,1118.1947
8119,88.0893
1418,58.034054
5643,26.134085
2817,49.695866
1082,133.34987
7352,949.1636
4674,54.441227
6631,13.603839
9599,233.49487
8601,97.62899
8611,41.265408
1087,12.454653
1726,310.70422
1887,8.927739
1118,101.42129
3284,80.47574
8562,22.53123
3598,18.061035
3472,689.3975
1845,57.850002
2164,55.52715
5720,1134.3121
1835,2154.12
1352,514.22156
10162,434.16754
7150,95.94627
8936,289.48178
